date,daily_volume,bin_num,bin_volume,max,min,first,last,quote_imbalance
2020-09-17,563599230,5,12297006,5.18,5.14,5.15,5.18,-0.5617602109830684
2020-09-17,563599230,6,8913498,5.18,5.16,5.18,5.16,0.554171127309446
2020-09-17,563599230,7,10533700,5.18,5.16,5.16,5.17,0.04385846479318567
2020-09-17,563599230,8,13794900,5.19,5.16,5.18,5.17,-0.177893135631563
2020-09-17,563599230,9,7382296,5.17,5.15,5.16,5.16,-0.015283129677003291
2020-09-17,563599230,10,5500184,5.16,5.15,5.15,5.15,-0.24659594098287463
2020-09-17,563599230,11,6987199,5.16,5.14,5.15,5.15,-0.1701947788319358
2020-09-17,563599230,12,17985017,5.15,5.11,5.14,5.12,0.539185526136075
2020-09-17,563599230,13,15207301,5.13,5.11,5.12,5.12,0.1176905916983361
2020-09-17,563599230,14,8330448,5.13,5.11,5.13,5.11,0.7787470142469258
2020-09-17,563599230,15,8631053,5.13,5.11,5.11,5.12,0.1419585494084319
2020-09-17,563599230,16,8870282,5.14,5.12,5.13,5.12,0.6650582114909466
2020-09-17,563599230,17,17577400,5.17,5.12,5.12,5.17,-0.1823079960338142
2020-09-17,563599230,18,58047477,5.21,5.16,5.17,5.21,-0.48302473429483
2020-09-17,563599230,19,107778260,5.27,5.21,5.21,5.26,-0.1200638518632832
2020-09-17,563599230,20,43567132,5.27,5.23,5.27,5.25,-0.6224512279625918
2020-09-17,563599230,21,54394161,5.28,5.24,5.25,5.24,-0.5533246379855283
2020-09-17,563599230,22,23190500,5.25,5.22,5.24,5.24,0.42904251089064893
2020-09-17,563599230,23,17118749,5.24,5.21,5.24,5.21,0.1465661158079682
2020-09-17,563599230,24,31935923,5.23,5.21,5.22,5.22,-0.5014382019380584
2020-09-18,701369062,0,4479700,5.24,5.24,5.24,5.24,0.23108952005945263
