000998-pred,000998-true
-0.21359175,0.0953
-0.24190922,-0.1052
-0.21105197,0.7954
-0.25020486,0.8841
-0.23379913,0.7189
-0.2460643,0.0226
-0.2150819,0.3279
-0.2185308,0.2841
-0.20856613,2.218
-0.23628508,0.775
-0.23470776,1.0699
-0.18871932,0.6247
-0.20421962,-0.0883
-0.27249044,0.1618
-0.24672332,0.3154
-0.26587808,-0.3144
-0.19914237,-0.1185
-0.15029648,0.2353
-0.20647632,0.6331
-0.15527366,-0.0756
-0.22950034,-0.2472
-0.22007078,-0.291
-0.24192333,-0.3343
-0.25833333,-0.2949
-0.23530537,-0.2783
-0.20053744,-0.2537
-0.21331127,-0.3722
-0.18867767,0.0003
-0.17432508,0.0074
-0.15971465,0.8189
-0.17024809,1.0378
-0.2560082,-0.1081
-0.2801901,-0.1851
-0.25780225,-0.2881
-0.2570668,-0.0542
-0.21726565,0.056
-0.21847361,-0.2073
-0.26033628,-0.2726
-0.2329736,-0.4346
-0.24221927,-0.1335
-0.23121184,-0.2676
-0.22261007,-0.0842
-0.2080946,0.4325
-0.22465116,-0.2515
-0.175269,-0.2448
-0.24522546,-0.3007
-0.24721324,0.3547
-0.20797475,0.948
-0.22832116,1.5872
-0.23276371,0.3965
-0.27201954,0.8708
-0.28321034,-0.1062
-0.30052227,-0.187
-0.2885062,-0.2442
-0.27040884,-0.0359
-0.26644433,-0.3471
-0.26790372,0.4035
-0.23354715,0.0414
-0.29108626,0.0737
-0.2871548,0.1256
-0.25345838,-0.2004
-0.25568086,-0.2915
-0.24275728,-0.0505
-0.27250707,-0.3078
-0.28629214,-0.3061
-0.2787187,-0.323
-0.2891661,-0.3412
-0.30082104,-0.2475
-0.27913186,0.1893
-0.29941848,0.4942
-0.27185902,2.3243
-0.25631592,-0.1362
-0.2704182,-0.1395
-0.26554883,0.3803
-0.27711552,-0.1877
-0.2403266,-0.0219
-0.2858929,-0.1268
-0.28002465,-0.3392
-0.23399079,-0.3003
-0.26897904,0.025
-0.24025054,-0.3052
-0.3028087,-0.1972
-0.2984369,-0.1975
-0.2800881,-0.3915
-0.29522905,0.2268
-0.30109742,-0.3624
-0.26919484,-0.4365
-0.2835095,-0.074
-0.26050276,0.0344
-0.2636428,-0.2921
-0.2906168,0.0581
-0.20851743,-0.0901
-0.29080814,-0.0957
-0.29698306,-0.0555
-0.2908203,-0.3454
-0.28873596,-0.3452
-0.3009499,-0.1555
-0.2638896,-0.3895
-0.2559553,-0.443
-0.28725663,-0.5733
-0.27437788,-0.4828
-0.29211593,-0.4579
-0.30533797,-0.3072
-0.30397233,-0.5019
-0.3005327,-0.488
-0.29823518,-0.4632
-0.3176719,-0.4162
-0.30179915,-0.5187
-0.29443607,-0.3637
-0.29975137,0.0326
-0.27804986,-0.0354
-0.22613643,-0.265
-0.2581991,-0.2984
-0.25537562,-0.3029
-0.3134652,-0.2622
-0.30990264,0.2843
-0.311285,-0.395
-0.27150753,-0.2688
-0.29462653,-0.3461
-0.30348563,-0.4618
-0.27553046,-0.4454
-0.2957642,-0.4273
-0.31410486,-0.21
-0.322918,0.8407
-0.31570512,0.1118
-0.31181762,-0.3701
-0.31157744,-0.411
-0.30081213,-0.3
-0.30899733,0.4128
-0.28054258,1.6019
-0.27463537,0.7927
-0.28346,2.2897
-0.28444955,0.3612
-0.3126039,-0.1625
-0.31193605,-0.1775
-0.31162184,0.1121
-0.31266826,-0.3649
-0.27836424,-0.5347
-0.30070034,-0.4793
-0.30103037,-0.5091
-0.28190616,-0.5439
-0.31270877,-0.5359
-0.27875012,-0.3721
-0.31220773,-0.4462
-0.28789365,-0.3933
-0.31647977,-0.405
-0.2977462,-0.3894
-0.3023487,-0.4114
-0.31791842,-0.4313
-0.28377217,-0.2321
-0.29042953,0.3803
-0.30854136,0.2437
-0.30330452,0.0661
-0.30182856,-0.0249
-0.32292575,-0.0542
-0.26791972,-0.3539
-0.29550642,-0.258
-0.28462207,-0.183
-0.29157963,0.1298
-0.291923,0.5812
-0.26545888,0.1158
-0.2733757,0.0011
-0.30058134,1.0822
-0.2781584,0.1228
-0.28886133,-0.0587
-0.3157491,-0.0551
-0.29875463,-0.0218
-0.30814457,-0.0258
-0.28042907,0.1407
-0.30797133,0.0585
-0.29552105,0.3469
-0.29277927,0.3105
-0.31337795,0.2644
-0.30265626,0.1302
-0.30806622,0.084
-0.30683288,0.0183
-0.26896963,0.532
-0.25156134,-0.2495
-0.29857323,-0.1778
-0.29621592,0.1994
-0.29057658,-0.0623
-0.31452414,0.2069
-0.26283795,0.0599
-0.2807534,-0.2996
-0.28072444,-0.1921
-0.3082609,-0.3743
-0.294457,-0.1643
-0.29239663,-0.3065
-0.28103215,0.1385
-0.31265616,0.2122
-0.31049025,0.4292
-0.307925,-0.0172
-0.30545667,-0.0881
-0.31289142,-0.2416
-0.30321324,-0.3361
-0.27698657,-0.4425
-0.26107234,-0.3003
-0.28133076,-0.1471
-0.26818928,-0.4519
-0.28854132,-0.4561
-0.27282077,0.0186
-0.26775333,-0.0674
-0.24793357,-0.1552
-0.2592408,1.5323
-0.26976332,0.3035
-0.262491,-0.1679
-0.26149035,-0.1259
-0.26557454,-0.2795
-0.2810502,-0.0473
-0.29162136,-0.2075
