date,daily_volume,bin_num,bin_volume,spread,quote_imbalance
2020-09-11,11557239.0,18,460700.0,8.587620457767287e-05,-0.18362834166032146
2020-09-11,11557239.0,19,227096.0,8.780396143737157e-05,-0.0017726529558557784
2020-09-11,11557239.0,20,1801813.0,0.00018572743610589804,0.016826759168565228
2020-09-11,11557239.0,21,551709.0,0.00016558417674361614,0.1640162681430121
2020-09-11,11557239.0,22,583826.0,0.00013367404085062873,0.45309178062878896
2020-09-11,11557239.0,23,431300.0,7.383634633284508e-05,0.14378518839324383
2020-09-11,11557239.0,24,534800.0,6.799393928758057e-05,-0.0011865639250745479
2020-09-14,14145204.848000001,0,119468.34800000094,9.507854452195375e-06,0.10640103563279467
2020-09-14,14145204.848000001,1,2665179.500000001,0.0003028708765719923,0.591744674063662
2020-09-14,14145204.848000001,2,902659.0,0.0002623978124332016,-0.06869551736885413
2020-09-14,14145204.848000001,3,1024020.0,0.00023449039035172703,0.24143787937851535
2020-09-14,14145204.848000001,4,970496.0,0.0002680747909669101,0.15393330923143186
2020-09-14,14145204.848000001,5,963991.0,0.0001308303026910096,-0.26829537139979287
2020-09-14,14145204.848000001,6,786686.0,0.00019389248539880555,-0.015036048175364997
2020-09-14,14145204.848000001,7,614323.0,0.00011705817404217278,0.43904489209938546
2020-09-14,14145204.848000001,8,472335.0,0.00012944593930486192,0.14370132600150817
2020-09-14,14145204.848000001,9,369100.0,0.00013139239920567647,0.2577758841073711
2020-09-14,14145204.848000001,10,464555.0,0.00018558804243462568,0.5642668410494782
2020-09-14,14145204.848000001,11,254989.0,0.0001508936053766785,0.520405271043006
2020-09-14,14145204.848000001,12,291662.0,0.00020078002490997449,-0.014811690830060802
2020-09-14,14145204.848000001,13,387849.0,0.00019420765943789497,0.08901013771463921
2020-09-14,14145204.848000001,14,362770.0,0.0001702904843843278,-0.027464115405574262
2020-09-14,14145204.848000001,15,331600.0,8.199744550974053e-05,0.3738561270778069
2020-09-14,14145204.848000001,16,586078.0,8.966214980854481e-05,-0.43066096847787666
2020-09-14,14145204.848000001,17,251900.0,9.752697400289279e-05,-0.24968753229482912
2020-09-14,14145204.848000001,18,235964.0,0.00011494306608117455,-0.2941022349149789
2020-09-14,14145204.848000001,19,294303.0,0.00015802816760324134,0.14465299875770138
2020-09-14,14145204.848000001,20,288565.0,9.753386179123247e-05,0.014024552828340042
2020-09-14,14145204.848000001,21,383139.0,7.160133681249903e-05,-0.2429121254170045
2020-09-14,14145204.848000001,22,289370.0,7.239123554425575e-05,0.16792015853687653
2020-09-14,14145204.848000001,23,365388.0,9.501144794699101e-05,-0.0058370301190754145
2020-09-14,14145204.848000001,24,468815.0,7.733158376166394e-05,0.26374167245940916
2020-09-15,11379800.946000002,0,80126.94600000029,7.413579905524159e-06,0.003478036841427283
2020-09-15,11379800.946000002,1,2365622.554000002,0.00023254897804037,0.1672776921211281
2020-09-15,11379800.946000002,2,745843.0,0.00017482946358726714,0.3684538618912828
2020-09-15,11379800.946000002,3,545082.0,0.00013628694785094986,-0.05462853670962985
2020-09-15,11379800.946000002,4,506426.0,0.0002122980664320817,0.07784636488340192
2020-09-15,11379800.946000002,5,356977.0,0.00018357670127211456,0.31155353213646186
2020-09-15,11379800.946000002,6,291449.0,0.0001279247192151889,-0.1939095977039105
2020-09-15,11379800.946000002,7,210312.0,0.0001223000341128433,-0.15209715880732758
2020-09-15,11379800.946000002,8,188690.0,0.00016874709179504066,0.11724164759428672
2020-09-15,11379800.946000002,9,243100.0,0.00024098819127638116,-0.0736803852094122
2020-09-15,11379800.946000002,10,128872.0,0.0001261249381596663,-0.10810405858445864
2020-09-15,11379800.946000002,11,342460.0,0.00012717363183867292,-0.057838845314045303
2020-09-15,11379800.946000002,12,315800.0,9.506535626790935e-05,0.07743330930064889
2020-09-15,11379800.946000002,13,559605.0,0.00011271777185317688,-0.5884592891026058
2020-09-15,11379800.946000002,14,884437.446000001,8.412997962348179e-05,-0.20647153249289585
2020-09-15,11379800.946000002,15,351524.0,0.00010472094351254846,-0.47322087045340505
2020-09-15,11379800.946000002,16,267514.0,0.00011608609098145983,-0.4842095145915922
2020-09-15,11379800.946000002,17,427581.0,9.245958845149893e-05,-0.1336153781854755
2020-09-15,11379800.946000002,18,282041.0,0.00010006048715371918,-0.5292501231919766
2020-09-15,11379800.946000002,19,310354.0,8.514311106289085e-05,-0.4557535245202822
2020-09-15,11379800.946000002,20,265500.0,7.29493403790471e-05,-0.0058309037900874635
2020-09-15,11379800.946000002,21,237500.0,8.288708415538082e-05,0.05807365439093484
2020-09-15,11379800.946000002,22,300000.0,8.029806928755434e-05,-0.050382241871603575
2020-09-15,11379800.946000002,23,602300.0,0.0001395721037256159,-0.33797927672998834
2020-09-15,11379800.946000002,24,570684.0,7.348271898832692e-05,-0.4562521915169446
2020-09-16,11563005.3,0,71803.40000000069,2.753003710709301e-05,-0.029770146773746883
2020-09-16,11563005.3,1,1140358.6000000003,0.00020666162423266243,-0.04286063011347082
2020-09-16,11563005.3,2,915774.0,0.00016439026365744347,-0.07675695915395149
2020-09-16,11563005.3,3,523409.0,0.00013373081326739644,-0.5120291889189776
2020-09-16,11563005.3,4,536665.1000000001,0.00011680579302875138,-0.5327878965469379
2020-09-16,11563005.3,5,393200.0,0.00013703270216014474,-0.7153919485420208
