,titles,times,links
59,8.3号解禁，持股的都是勇士,07-22 03:36,"https://guba.eastmoney.com/news,002282,1061637624.html"
60,割肉也要走了，后面还有的跌,07-22 09:56,"https://guba.eastmoney.com/news,002282,1061296991.html"
61,三一重工都涨成什么样了，你这,07-22 09:48,"https://guba.eastmoney.com/news,002282,1061286742.html"
62,【调研快报】博深股份接待华西证券调研,07-22 09:35,"https://guba.eastmoney.com/news,002282,1061567222.html"
63,下跌开始,07-22 09:33,"https://guba.eastmoney.com/news,002282,1061270437.html"
64,博深股份:2021年7月21日投资者关系活动记录表,07-22 09:23,"https://guba.eastmoney.com/news,002282,1061264058.html"
65,博深股份:2021年7月21日投资者关系活动记录表,07-22 12:00,"https://guba.eastmoney.com/news,002282,1123840192.html"
66,我站在18低头哭,07-21 11:00,"https://guba.eastmoney.com/news,002282,1060850065.html"
67,昨天白涨了一天！！,07-21 09:52,"https://guba.eastmoney.com/news,002282,1060749167.html"
68,感觉不乐观,07-21 09:36,"https://guba.eastmoney.com/news,002282,1060721993.html"
69,刚创新高好股,07-20 11:06,"https://guba.eastmoney.com/news,002282,1060641445.html"
70,保底都还有20个点,07-20 11:05,"https://guba.eastmoney.com/news,002282,1060641293.html"
71,我的乌龙难道乌对啦,07-20 01:35,"https://guba.eastmoney.com/news,002282,1060435791.html"
72,这股业绩好就是没什么关注度，主力不拉涨停玩个毛线浪费时间,07-20 01:35,"https://guba.eastmoney.com/news,002282,1060435494.html"
73,这个股票我近期才关注，业绩不错，一直没有研报发布；利于大牛股的走势！今天下午会创,07-20 12:58,"https://guba.eastmoney.com/news,002282,1060402151.html"
74,乌龙事件,07-20 10:21,"https://guba.eastmoney.com/news,002282,1060299223.html"
75,死在路上,07-20 10:19,"https://guba.eastmoney.com/news,002282,1060296283.html"
76,完了，我只是试试我能买多少手，高挂12.96居然给我秒进要完了，我完了,07-20 10:17,"https://guba.eastmoney.com/news,002282,1060293285.html"
77,最后带个绿帽子才奇葩,07-19 02:50,"https://guba.eastmoney.com/news,002282,1060005397.html"
78,此股不错,07-19 01:41,"https://guba.eastmoney.com/news,002282,1059934774.html"
79,成功把我洗了出去。,07-19 11:59,"https://guba.eastmoney.com/news,002282,1059878671.html"
80,德子概念，先加自选观望。不行就取关,07-18 10:57,"https://guba.eastmoney.com/news,002282,1059639656.html"
81,德子概念股啥意思,07-15 07:20,"https://guba.eastmoney.com/news,002282,1058842158.html"
82,博深～100元也不为过！参考晶方科技！,07-15 04:32,"https://guba.eastmoney.com/news,002282,1058798811.html"
83,如果有回踩的机会，这票还是值得博奕的,07-15 03:07,"https://guba.eastmoney.com/news,002282,1058766696.html"
84,高位十字星，你看着办，明天如果收阴线，短期见顶，如果明天收阳线，就是仙人指路,07-15 02:31,"https://guba.eastmoney.com/news,002282,1058727954.html"
85,下午准备割了三一进你，三一这个死垃圾,07-15 12:15,"https://guba.eastmoney.com/news,002282,1058617501.html"
86,主力加仓意愿强，爆打空头,07-15 11:41,"https://guba.eastmoney.com/news,002282,1058604799.html"
87,谢谢德子,07-15 10:41,"https://guba.eastmoney.com/news,002282,1058539916.html"
88,今天把德子喊来的人，全部活埋，一个不留,07-15 10:18,"https://guba.eastmoney.com/news,002282,1058501828.html"
89,看看能套多少人，8月3号见,07-15 10:10,"https://guba.eastmoney.com/news,002282,1058488430.html"
90,这股不能玩了太多人进了,07-15 09:49,"https://guba.eastmoney.com/news,002282,1058450853.html"
91,博深股份7月15日快速上涨,07-15 09:43,"https://guba.eastmoney.com/news,002282,1058440484.html"
92,德子概念股,07-15 09:39,"https://guba.eastmoney.com/news,002282,1058433187.html"
93,博深股份7月15日快速反弹,07-15 09:37,"https://guba.eastmoney.com/news,002282,1058430747.html"
94,博深股份7月15日快速回调,07-15 09:32,"https://guba.eastmoney.com/news,002282,1058420570.html"
95,开始套人模式[大笑],07-15 09:21,"https://guba.eastmoney.com/news,002282,1058403638.html"
96,德粉，今天会有一大批无脑冲进来，能跑的最好赶紧走了，正好有人抬轿子,07-15 08:06,"https://guba.eastmoney.com/news,002282,1058384882.html"
97,德子概念股不少人都赚了把[大笑],07-15 06:22,"https://guba.eastmoney.com/news,002282,1058370793.html"
98,感谢德子老师，稳稳赚了20个点[鼓掌][鼓掌][鼓掌],07-14 10:24,"https://guba.eastmoney.com/news,002282,1058333050.html"
99,德子概念股，哈哈,07-14 08:15,"https://guba.eastmoney.com/news,002282,1058297016.html"
100,2020年涂附磨具行业市场现状分析，未来加快产业转型升级是主基调,07-14 03:27,https://guba.eastmoney.com//caifuhao.eastmoney.com/news/20210714152735213920370
101,这几天终于人多了，被套的都出来了[旺柴],07-14 03:20,"https://guba.eastmoney.com/news,002282,1058210353.html"
102,持仓1404天，盈利1040元，走了,07-14 02:59,"https://guba.eastmoney.com/news,002282,1058194362.html"
103,24等解套[哭],07-14 02:09,"https://guba.eastmoney.com/news,002282,1058138549.html"
104,山顶的你们不抛，等待解套，主力哪有这么多资金给你们承接,07-14 01:15,"https://guba.eastmoney.com/news,002282,1058081403.html"
105,21块站在巍巍昆仑之巅的已经冻了好些年了……[哭][哭][哭][哭]什么时候是个,07-14 11:58,"https://guba.eastmoney.com/news,002282,1058048987.html"
106,这股为什么这几天这么涨，持有三年，赚了一点12.3就卖掉了，唉,07-14 11:15,"https://guba.eastmoney.com/news,002282,1058021054.html"
107,博深股份7月14日盘中涨幅达5%,07-14 09:56,"https://guba.eastmoney.com/news,002282,1057909076.html"
108,博深股份7月14日快速上涨,07-14 09:50,"https://guba.eastmoney.com/news,002282,1057899839.html"
109,博深股份7月14日快速反弹,07-14 09:38,"https://guba.eastmoney.com/news,002282,1057875905.html"
110,好了，此股这一波到此为止，都散了吧[微笑],07-13 05:53,"https://guba.eastmoney.com/news,002282,1057714826.html"
111,此股所谋者大！！走得好稳健！,07-13 02:43,"https://guba.eastmoney.com/news,002282,1057638919.html"
112,熬人,07-13 01:25,"https://guba.eastmoney.com/news,002282,1057559592.html"
113,八九月份限售股解禁量好大。。。。。6600万股[滴汗][滴汗][滴汗],07-13 08:11,"https://guba.eastmoney.com/news,002282,1057311067.html"
114,博深股份7月12日盘中涨幅达5%,07-12 01:04,"https://guba.eastmoney.com/news,002282,1057012179.html"
115,有突破了，看看能不能超11.72,07-12 12:33,"https://guba.eastmoney.com/news,002282,1056997960.html"
116,这是人干的事？？？,07-09 01:24,"https://guba.eastmoney.com/news,002282,1056313172.html"
117,弱庄,07-08 02:01,"https://guba.eastmoney.com/news,002282,1055809743.html"
118,拿稳了，有戏,07-06 09:59,"https://guba.eastmoney.com/news,002282,1054559018.html"
119,请问公司参股科创班有研粉材上市后是否已经按公允价值算进一季报净利润？,07-06 09:21,"https://guba.eastmoney.com/news,002282,1054517133.html"
120,请问有知道八月九月解禁股的股价具体是多少吗？[抱拳],07-05 01:36,"https://guba.eastmoney.com/news,002282,1054244467.html"
121,料他减持出来之前一定不敢跌[大笑],07-05 11:04,"https://guba.eastmoney.com/news,002282,1054155651.html"
122,这是我看见的最安静的贴吧了,07-02 01:49,"https://guba.eastmoney.com/news,002282,1053566658.html"
123,可以抛一半了,06-30 10:24,"https://guba.eastmoney.com/news,002282,1052248981.html"
124,天宜上佳又10cm了,06-30 10:17,"https://guba.eastmoney.com/news,002282,1052238604.html"
125,杨伟了,06-30 10:02,"https://guba.eastmoney.com/news,002282,1052214244.html"
126,这是？？,06-30 09:35,"https://guba.eastmoney.com/news,002282,1052169864.html"
127,今天会有惊喜吗[大笑],06-30 09:15,"https://guba.eastmoney.com/news,002282,1052146657.html"
128,转发,06-29 06:16,"https://guba.eastmoney.com/news,002282,1052015486.html"
129,博深股份:博深股份有限公司关于变更指定信息披露媒体的公告,06-29 03:44,"https://guba.eastmoney.com/news,002282,1051972317.html"
130,转发信息：博深股份,06-29 02:37,"https://guba.eastmoney.com/news,002282,1051926409.html"
131,抛了一半[哭],06-29 10:36,"https://guba.eastmoney.com/news,002282,1051745929.html"
132,你欠大家一个涨停,06-28 10:57,"https://guba.eastmoney.com/news,002282,1051251835.html"
133,每天抽一下风,06-28 10:38,"https://guba.eastmoney.com/news,002282,1051229859.html"
134,博深盘面好看，虽说大A主要以投机为主，但有时候投机也看底子的。而且现在股价正在低,06-28 10:37,"https://guba.eastmoney.com/news,002282,1051228269.html"
135,在这里耗时间，不好,06-28 09:13,"https://guba.eastmoney.com/news,002282,1051104520.html"
136,起来就走,06-28 09:12,"https://guba.eastmoney.com/news,002282,1051104451.html"
137,39家机械设备行业公司发布上半年业绩预告 近八成预喜,06-25 12:50,"https://guba.eastmoney.com/news,002021,1050555358.html"
138,一季度刚过完，就敢宣布半年报的企业，绝对是妖怪级别的,06-25 12:07,"https://guba.eastmoney.com/news,002282,1050543251.html"
139,天宜上佳都上天了，这个还在趴窝[怒][怒][怒],06-24 12:32,"https://guba.eastmoney.com/news,002282,1050004137.html"
140,博深，耗着就是了,06-24 11:26,"https://guba.eastmoney.com/news,002282,1049976352.html"
141,（6-22）博深股份连续三日收于年线之上,06-22 03:15,"https://guba.eastmoney.com/news,002282,1049058222.html"
142,博深股份是石油钻井行业供应商，石油行业爆发，少不了有你的,06-22 01:06,"https://guba.eastmoney.com/news,002282,1048926838.html"
143,请大家放心，今天还会玩起来的。[大笑][大笑],06-22 10:47,"https://guba.eastmoney.com/news,002282,1048844645.html"
144,今天低开高走继续玩起来[大笑][大笑],06-22 09:30,"https://guba.eastmoney.com/news,002282,1048726918.html"
145,这股票的排名真是感人。,06-21 11:46,"https://guba.eastmoney.com/news,002282,1048387900.html"
146,今天继续玩起来[大笑][大笑],06-21 10:29,"https://guba.eastmoney.com/news,002282,1048310354.html"
147,博起来了，深入不了，软不拉几的,06-18 02:59,"https://guba.eastmoney.com/news,002282,1047619628.html"
148,玩起来[大笑][大笑],06-18 02:01,"https://guba.eastmoney.com/news,002282,1047555232.html"
149,就是不涨，哎，就是玩！,06-17 02:11,"https://guba.eastmoney.com/news,002282,1047026508.html"
150,8月份5000多万股解禁，解禁成本8.00元，博深卒。,06-16 10:24,"https://guba.eastmoney.com/news,002282,1046356901.html"
151,今天不拉尾巴了？,06-11 02:55,"https://guba.eastmoney.com/news,002282,1045294942.html"
152,每次就靠拉尾盘出点货。也太可怜了。没有资金接盘吗。这个价格没吸引力吗,06-11 02:25,"https://guba.eastmoney.com/news,002282,1045258292.html"
153,此股适合一手两手的买,06-11 02:04,"https://guba.eastmoney.com/news,002282,1045232641.html"
154,织布机依旧，闪人不看了[怒][怒][怒],06-11 01:04,"https://guba.eastmoney.com/news,002282,1045167026.html"
155,每天拉尾盘是干嘛。诱多出货,06-10 03:00,"https://guba.eastmoney.com/news,002282,1044734045.html"
156,开始织毛衣了！,06-10 02:26,"https://guba.eastmoney.com/news,002282,1044694266.html"
157,每天这点成交量[大笑][大笑][大笑],06-10 01:11,"https://guba.eastmoney.com/news,002282,1044609938.html"
158,果断买入,06-09 10:36,"https://guba.eastmoney.com/news,002282,1043987640.html"
159,国产替代是趋势,06-09 10:34,"https://guba.eastmoney.com/news,002282,1043985516.html"
160,一个公司不好好做产品！做销售！天天跟着资本转没什么意思的！你把营收做大！利润做高,06-08 09:40,"https://guba.eastmoney.com/news,002282,1043806819.html"
161,博深股份:博深股份有限公司关于股东进行股票质押延期购回的公告,06-08 03:37,"https://guba.eastmoney.com/news,002282,1043720386.html"
162,就是不涨，唉，就是玩！,06-08 10:05,"https://guba.eastmoney.com/news,002282,1043455106.html"
163,有毛病这股票,06-07 10:10,"https://guba.eastmoney.com/news,002282,1043315058.html"
164,（6-7）博深股份连续三日收于年线之上，前次最大涨幅48.78%,06-07 03:46,"https://guba.eastmoney.com/news,002282,1043222430.html"
165,神奇2:30开始你的表演,06-07 02:00,"https://guba.eastmoney.com/news,002282,1043142028.html"
166,问一下现在5月30日股东多少户,06-06 12:51,"https://guba.eastmoney.com/news,002282,1042776607.html"
167,博深股份:002282博深股份调研活动信息20210604,06-04 06:53,"https://guba.eastmoney.com/news,002282,1042555407.html"
168,博深股份:002282博深股份调研活动信息20210604,06-04 12:00,"https://guba.eastmoney.com/news,002282,1117889043.html"
169,请问这是公司官网吗？有时看到上市公司，这么多优秀的人才，小事都做不好，有点气氛，,06-03 11:37,"https://guba.eastmoney.com/news,002282,1042098459.html"
170,今天直接不要脸了，压盘吸货，故意破年线，看的明白但是也很让人生气[旺柴],06-02 06:06,"https://guba.eastmoney.com/news,002282,1041509706.html"
171,严重套牢大盘天天涨你干嘛天天跌,06-02 04:41,"https://guba.eastmoney.com/news,002282,1041488587.html"
172,准确，最低价收盘，刚好跌过年线，你们还要那8分钱分红么？出利好后假冲一波，然后大,06-02 03:04,"https://guba.eastmoney.com/news,002282,1041455171.html"
173,什么时候才能解套啊[哭][哭][哭],06-02 02:56,"https://guba.eastmoney.com/news,002282,1041448977.html"
174,先跌为敬,06-02 10:06,"https://guba.eastmoney.com/news,002282,1041205588.html"
175,博深股份:博深股份有限公司关于股东进行股票解除质押的公告,06-01 03:40,"https://guba.eastmoney.com/news,002282,1040963061.html"
176,各板块都在上涨你下跌，我也是醉了，今天尾盘又买进2W股,05-31 08:11,"https://guba.eastmoney.com/news,002282,1040524510.html"
177,这得多大的恨多大的仇，才能走出这样,05-31 02:26,"https://guba.eastmoney.com/news,002282,1040403057.html"
178,板块涨的这么好。。。跌成这样，，是傻了吗[哭],05-31 02:17,"https://guba.eastmoney.com/news,002282,1040394052.html"
179,正儿八经的无人问津股。。。自生自灭。。。。,05-31 11:52,"https://guba.eastmoney.com/news,002282,1040302487.html"
180,先走人了，这头都不回的样子过两天除权必会破年线！,05-31 10:40,"https://guba.eastmoney.com/news,002282,1040240157.html"
181,快了,05-31 09:49,"https://guba.eastmoney.com/news,002282,1040169629.html"
182,2021年一季报商誉榜：通用机械行业,05-28 06:39,"https://guba.eastmoney.com/news,002282,1039781709.html"
183,博深股份:博深股份有限公司2020年年度权益分派实施公告,05-26 07:50,"https://guba.eastmoney.com/news,002282,1038783948.html"
184,我在等到9.8本月底差不多吧！！,05-26 06:36,"https://guba.eastmoney.com/news,002282,1038769131.html"
185,那位大神解释下，低位十字星。,05-26 03:43,"https://guba.eastmoney.com/news,002282,1038726251.html"
186,我是被阿牛智投喊来接盘的,05-26 01:25,"https://guba.eastmoney.com/news,002282,1038614919.html"
187,坑啊   数你牛逼  就是不涨,05-26 01:06,"https://guba.eastmoney.com/news,002282,1038598214.html"
188,我希望你给力，今天看你了，不要让人一直失望,05-26 09:37,"https://guba.eastmoney.com/news,002282,1038416615.html"
189,终于低开了,05-26 09:26,"https://guba.eastmoney.com/news,002282,1038398986.html"
190,小盘股,05-25 11:15,"https://guba.eastmoney.com/news,002282,1038021654.html"
191,博深股份:002282博深股份业绩说明会、路演活动信息20210525,05-25 10:00,"https://guba.eastmoney.com/news,002282,1037921045.html"
192,博深股份:002282博深股份业绩说明会、路演活动信息20210525,05-25 12:00,"https://guba.eastmoney.com/news,002282,1117890393.html"
193,博深股份-‘冀’往开来 砥砺前行 做受尊敬的上市公司——河北辖区上市公司、精选层挂牌公司2021年度网上集体业绩说明会【全景路演】,05-24 05:08,"https://guba.eastmoney.com/news,002282,1037724045.html"
194,基本散户跑得差不多了，留下的都是深套,05-24 02:29,"https://guba.eastmoney.com/news,002282,1037651808.html"
195,反弹在即，千万别抛,05-23 09:29,"https://guba.eastmoney.com/news,002282,1037271259.html"
196,博深有点可惜，主力没有钱，从量能来看,05-22 11:10,"https://guba.eastmoney.com/news,002282,1037178910.html"
197,博深股份-‘冀’往开来 砥砺前行 做受尊敬的上市公司——河北辖区上市公司、精选层挂牌公司2021年度网上集体业绩说明会【全景路演】,05-21 06:02,https://guba.eastmoney.com//caifuhao.eastmoney.com/news/20210521180209244310590
198,这票已经开始出货了,05-20 01:10,"https://guba.eastmoney.com/news,002282,1036448080.html"
199,明天大跌,05-19 05:35,"https://guba.eastmoney.com/news,002282,1036096031.html"
200,博深股份:博深股份有限公司关于举行2021年网上集体业绩说明会的公告,05-19 03:57,"https://guba.eastmoney.com/news,002282,1036071544.html"
201,怎么对的起相信你的股民,05-19 02:44,"https://guba.eastmoney.com/news,002282,1036034199.html"
202,垃圾企业,05-19 01:51,"https://guba.eastmoney.com/news,002282,1035985431.html"
203,这个周末到9.8我买五万股,05-18 03:19,"https://guba.eastmoney.com/news,002282,1035589772.html"
204,明天早上到10.58,05-18 03:17,"https://guba.eastmoney.com/news,002282,1035589030.html"
205,割肉走了，垃圾股,05-18 02:25,"https://guba.eastmoney.com/news,002282,1035550566.html"
206,叶飞概念股？,05-18 01:43,"https://guba.eastmoney.com/news,002282,1035513797.html"
207,"杨建华在今年三月份以10,23和10.79分别卖出410万股420万股，今年四月",05-18 12:23,"https://guba.eastmoney.com/news,002282,1035470124.html"
208,天宜上佳被叶飞带偏了你慌什么？他这样的信誉在集采招标会不会也是考量的标准？这样你,05-17 10:52,"https://guba.eastmoney.com/news,002282,1035238279.html"
209,[哭][哭][哭][哭]就没见这货大涨过,05-17 05:37,"https://guba.eastmoney.com/news,002282,1035166013.html"
210,叶老股？,05-17 10:00,"https://guba.eastmoney.com/news,002282,1034874243.html"
211,本来想买的，看到有个大股东转让的伊洛私募基金在，怕了。,05-17 09:56,"https://guba.eastmoney.com/news,002282,1034868388.html"
212,这个交易量真的醉了,05-14 01:52,"https://guba.eastmoney.com/news,002282,1034326354.html"
213,我靠，今天直接没有竞价,05-14 09:26,"https://guba.eastmoney.com/news,002282,1034080971.html"
214,半死不活[大笑][大笑]，天天成交量这么点,05-13 09:54,"https://guba.eastmoney.com/news,002282,1033996083.html"
215,跑喽，这股明天大跌,05-12 04:31,"https://guba.eastmoney.com/news,002282,1033443094.html"
216,这个比，今天怎么了，是痒了吗,05-12 01:40,"https://guba.eastmoney.com/news,002282,1033332167.html"
217,没想到你拉上去了，以为你要到10元,05-12 01:15,"https://guba.eastmoney.com/news,002282,1033311271.html"
218,博深股份:博深股份有限公司独立董事述职报告(刘淑君),05-11 06:05,"https://guba.eastmoney.com/news,002282,1032992830.html"
219,博深股份:博深股份有限公司独立董事述职报告(崔洪斌),05-11 06:05,"https://guba.eastmoney.com/news,002282,1032992837.html"
220,博深股份:博深股份有限公司2020年度股东大会决议公告,05-11 06:05,"https://guba.eastmoney.com/news,002282,1032992827.html"
221,博深股份:河北三和时代律师事务所关于博深股份有限公司2020年度股东大会的法律意见书,05-11 06:05,"https://guba.eastmoney.com/news,002282,1032992829.html"
222,博深股份:博深股份有限公司独立董事述职报告(王春和),05-11 06:05,"https://guba.eastmoney.com/news,002282,1032992821.html"
223,博深股份:博深股份有限公司简式权益变动报告书,05-10 03:44,"https://guba.eastmoney.com/news,002282,1032473882.html"
224,博深 我都不想拆穿你，对的起一直跟随你的散户？,05-08 11:05,"https://guba.eastmoney.com/news,002282,1031987524.html"
225,博深股份:博深股份有限公司关于召开2020年度股东大会的提示性公告,05-07 04:28,"https://guba.eastmoney.com/news,002282,1031765925.html"
226,偷偷地悄悄的吃,05-07 02:23,"https://guba.eastmoney.com/news,002282,1031697394.html"
227,能到10以下吗？,05-07 11:11,"https://guba.eastmoney.com/news,002282,1031576164.html"
228,尊敬的领导！晚上好！先预祝各位领导节日快乐！请问截止4/30日的股东人数？谢谢！,05-06 12:08,"https://guba.eastmoney.com/news,002282,1031165320.html"
229,博深股份:002282博深股份业绩说明会、路演活动信息20210430,04-30 10:23,"https://guba.eastmoney.com/news,002282,1030166884.html"
230,博深股份:002282博深股份业绩说明会、路演活动信息20210430,04-30 12:00,"https://guba.eastmoney.com/news,002282,1030189878.html"
231,博深股份2020年度业绩说明会【全景路演】,04-29 05:02,"https://guba.eastmoney.com/news,002282,1029873226.html"
232,博深股份：任京建解除质押580万股 质押410万股,04-29 03:51,"https://guba.eastmoney.com/news,002282,1029855693.html"
233,博深股份:博深股份有限公司关于股东进行股票质押和解除质押的公告,04-29 03:46,"https://guba.eastmoney.com/news,002282,1029845711.html"
234,19家机械设备行业公司发布上半年业绩预告 近七成预喜,04-29 12:50,"https://guba.eastmoney.com/news,002282,1029709367.html"
235,博深股份2020年度业绩说明会【全景路演】,04-28 06:49,https://guba.eastmoney.com//caifuhao.eastmoney.com/news/20210428184919462984710
236,的，年后一波震荡下跌不敢买，现在又到前高也不敢买，真是纠结！,04-28 03:07,"https://guba.eastmoney.com/news,002282,1029282046.html"
237,15家机械设备行业公司发布上半年业绩预告 近七成预喜,04-28 12:50,"https://guba.eastmoney.com/news,002347,1029160527.html"
238,这是搞什么飞机，停牌都不发公告的嘛！,04-28 09:28,"https://guba.eastmoney.com/news,002282,1028975846.html"
239,12家机械设备行业公司发布上半年业绩预告 近七成预喜,04-27 12:50,"https://guba.eastmoney.com/news,002282,1028619856.html"
240,博深股份董事误操作造成短线交易,04-27 12:46,"https://guba.eastmoney.com/news,002282,1028703295.html"
241,博深股份:博深股份有限公司关于董事因误操作导致短线交易的公告,04-27 11:51,"https://guba.eastmoney.com/news,002282,1028603038.html"
242,8家机械设备行业公司发布上半年业绩预告 近八成预喜,04-26 12:49,"https://guba.eastmoney.com/news,002430,1028082924.html"
243,7家机械设备行业公司发布上半年业绩预告 近七成预喜,04-23 12:50,"https://guba.eastmoney.com/news,002645,1027359424.html"
244,调整到11能止住么？,04-23 10:45,"https://guba.eastmoney.com/news,002282,1027279054.html"
