000753-pred,000753-true
-0.33389175,-0.6667
-0.40369523,-0.3955
-0.38749912,-0.4915
-0.3367669,-0.388
-0.3518204,2.4389
-0.36196893,0.4884
-0.2857336,0.0666
-0.28913203,-0.1236
-0.3078352,-0.2733
-0.31197503,-0.499
-0.33693448,-0.5799
-0.30825093,-0.376
-0.49828222,-0.4879
-0.3272271,-0.533
-0.44864166,-0.5365
-0.30678093,-0.6193
-0.31069162,-0.5759
-0.30124718,-0.361
-0.32076713,-0.5219
-0.29818147,-0.4471
-0.32216126,-0.4947
-0.32791746,-0.5834
-0.36058378,-0.3183
-0.34799266,-0.4241
-0.4381281,-0.3204
-0.5150597,-0.2601
-0.28965664,-0.3296
-0.31419066,-0.2719
-0.31526682,-0.4973
-0.35135853,-0.5485
-0.29661,-0.5386
-0.32445428,-0.2827
-0.48208362,-0.659
-0.44309652,-0.2435
-0.33389354,-0.509
-0.3279164,-0.4025
-0.31672505,-0.4922
-0.3012478,-0.5524
-0.2904014,-0.5618
-0.33108768,-0.1853
-0.35889703,-0.5198
-0.32820877,-0.3387
-0.33009028,-0.5456
-0.42512435,-0.3472
-0.4408076,-0.6144
-0.51137626,-0.2902
-0.29639977,-0.4122
-0.2908934,-0.3019
-0.3335744,-0.6331
-0.29559505,-0.5668
-0.33795407,-0.532
-0.3321425,-0.281
-0.35024297,-0.0114
-0.3027417,-0.442
-0.31251025,-0.4593
-0.3407318,-0.6578
-0.308623,-0.5284
-0.3548818,-0.0296
-0.33062908,0.0479
-0.33409467,0.6213
-0.3216585,-0.5323
-0.33903053,-0.5241
-0.30995053,-0.157
-0.33947846,-0.3033
-0.325917,-0.1196
-0.37659958,-0.1161
-0.28235877,0.0117
-0.3012235,-0.4954
-0.30003387,-0.4246
-0.31581548,0.0576
-0.31105533,-0.4626
-0.32173836,-0.2336
-0.33532625,-0.3451
-0.2929965,-0.3659
-0.31625286,0.3297
-0.3041862,-0.4769
-0.31707096,-0.3706
-0.31791636,-0.2355
-0.32195848,-0.3636
